conversation_id,customer_url,agent_url,customer_filename,agent_filename
hi_mama,https://drive.google.com/uc?export=download&id=1HCEzRL04kUarScOpkk4rnzR3TYFeVprG,https://drive.google.com/uc?export=download&id=1cHuqbFn_AJlWyx8YlB2uvIKgm-U2JxOt,e587124c-02b6-49c5-b3bf-2610015da46a_0.wav,e587124c-02b6-49c5-b3bf-2610015da46a_1.wav
f2e84be9-b188-4658-bcaa-666642b4620f,https://drive.google.com/uc?export=download&id=14E2K2jxJr5oqni_in04UTNnISGyGb0Fo,https://drive.google.com/uc?export=download&id=12LDBh7vhSoFgg78Q5bosnW6Ho1KgIanZ,f2e84be9-b188-4658-bcaa-666642b4620f_0.wav,f2e84be9-b188-4658-bcaa-666642b4620f_1.wav
d3bb1e69-6685-413f-873a-d8cd263f08cf,https://drive.google.com/uc?export=download&id=1SnDCtEciqh708FDf2EXLKnbXDa9RJ5Jf,https://drive.google.com/uc?export=download&id=16PFB3WCnRffvrB-WnPi-lQXar-hKOOcT,d3bb1e69-6685-413f-873a-d8cd263f08cf_0.wav,d3bb1e69-6685-413f-873a-d8cd263f08cf_1.wav
8e9017d2-311f-49ae-9fd1-0f86d54e459d,https://drive.google.com/uc?export=download&id=15ZjoI6mZWPnfF6LRU68kn3r8QTjANFrE,https://drive.google.com/uc?export=download&id=1VXnOzen12jRGyKE-MnUsR-Uk1jU7gE47,8e9017d2-311f-49ae-9fd1-0f86d54e459d_0.wav,8e9017d2-311f-49ae-9fd1-0f86d54e459d_1.wav
b00473b3-05b9-42c3-b2a9-4991a877986d,https://drive.google.com/uc?export=download&id=1qvIZNJV2TpWi5hlG5aRsEerC2dCnGpBk,https://drive.google.com/uc?export=download&id=1nPDLYQ2vTKsyfH4KRuLrOUF2-l4flIy8,b00473b3-05b9-42c3-b2a9-4991a877986d_0.wav,b00473b3-05b9-42c3-b2a9-4991a877986d_1.wav
b54d8df8-3d32-43b8-a2bf-14f7b65460b9,https://drive.google.com/uc?export=download&id=1rP57uJe3OTs4epFdklUUru0sKRA7hx8V,https://drive.google.com/uc?export=download&id=1LuaKm_roAPPtFixV3kQyNFsJZdfLqVuA,b54d8df8-3d32-43b8-a2bf-14f7b65460b9_0.wav,b54d8df8-3d32-43b8-a2bf-14f7b65460b9_1.wav
b11149a3-4079-4604-a75d-642f1697dd54,https://drive.google.com/uc?export=download&id=1W3YxRyQ4e4B8amHqux7qjH_NIb6gvA5E,https://drive.google.com/uc?export=download&id=1SwUJn_VGHQIMxESHb5W33g93TYCbjGZZ,b11149a3-4079-4604-a75d-642f1697dd54_0.wav,b11149a3-4079-4604-a75d-642f1697dd54_1.wav
7291f037-f00a-4d59-b999-4f930ded49cf,https://drive.google.com/uc?export=download&id=1VwhZjFxFVypz0-MJ5ZqER_ISjBC_qr1n,https://drive.google.com/uc?export=download&id=1mQvPXCJY7Xbejlg4KpISdfjvLjxPtMU5,7291f037-f00a-4d59-b999-4f930ded49cf_0.wav,7291f037-f00a-4d59-b999-4f930ded49cf_1.wav
79277027-5845-44c2-885b-3b0be85e6e31,https://drive.google.com/uc?export=download&id=1IpfQGdtfOxRUr8JuGMGzrfA-kyP38oM_,https://drive.google.com/uc?export=download&id=1lbjQHgWleLOX3FQl1AtH9dooXyekplsO,79277027-5845-44c2-885b-3b0be85e6e31_0.wav,79277027-5845-44c2-885b-3b0be85e6e31_1.wav
4f9d9224-81cd-462f-bd61-967128ed4092,https://drive.google.com/uc?export=download&id=1fnUKUXuSHHLjdM06SLXU5kCLygOikPLx,https://drive.google.com/uc?export=download&id=1Ql93N_LsAFrF1xp7cl02QF4y3cH6FwWY,4f9d9224-81cd-462f-bd61-967128ed4092_0.wav,4f9d9224-81cd-462f-bd61-967128ed4092_1.wav
5aa03a67-a3cd-4c6f-b570-37321700bff7,https://drive.google.com/uc?export=download&id=1trB2Eh3zTf2bBNc6E1_o9vOoyQw9uGe4,https://drive.google.com/uc?export=download&id=1Nl9A1k650s8HzakGhBVnFMKKjVpiLq9j,5aa03a67-a3cd-4c6f-b570-37321700bff7_0.wav,5aa03a67-a3cd-4c6f-b570-37321700bff7_1.wav
1ff69bf0-82b8-4468-8f8c-754e13ec85cf,https://drive.google.com/uc?export=download&id=1MGjP9vNpqm_gNZ6Qzt6zbxVlFqZw5CIR,https://drive.google.com/uc?export=download&id=1yGbWCqoC9U_NhiQp-TRELQ9W4lw9eueS,1ff69bf0-82b8-4468-8f8c-754e13ec85cf_0.wav,1ff69bf0-82b8-4468-8f8c-754e13ec85cf_1.wav
4ef1b099-e7a7-447a-a156-bf26f23d4aa0,https://drive.google.com/uc?export=download&id=1Pl9Cs4rxqlA5nzWOR507Z9GPrgNeIaE0,https://drive.google.com/uc?export=download&id=1wtmdZCV6qcp82kAjfy2srzkMhr7xV2ny,4ef1b099-e7a7-447a-a156-bf26f23d4aa0_0.wav,4ef1b099-e7a7-447a-a156-bf26f23d4aa0_1.wav
